geneId,geneName,locus,strand,chromosome
gene-ALDOA,ALDOA,NC_059180.1,+,24,
gene-ALDOB,ALDOB,NC_059159.1,-,3,
gene-ALDOC,ALDOC,NC_059159.1,+,3,
gene-ALG1,ALG1,NC_059180.1,-,24,
gene-ALG10,ALG10,NC_059160.1,+,4,
gene-ALG11,ALG11,NC_059169.1,-,13,
gene-ALG12,ALG12,NC_059160.1,+,4,
gene-ALG13,ALG13,NC_059181.1,-,X,
gene-ALG14,ALG14,NC_059162.1,+,6,
gene-ALG2,ALG2,NC_059159.1,-,3,
gene-ALG3,ALG3,NC_059157.1,+,1,
gene-ALG5,ALG5,NC_059169.1,-,13,
gene-ALG6,ALG6,NC_059162.1,-,6,
gene-ALG8,ALG8,NC_059161.1,+,5,
gene-ALG9,ALG9,NC_059172.1,+,16,
gene-ALK,ALK,NC_059168.1,+,12,
gene-ALKAL1,ALKAL1,NC_059171.1,+,15,
gene-ALKAL2,ALKAL2,NC_059159.1,+,3,
gene-ALKBH1,ALKBH1,NC_059167.1,+,11,
gene-ALKBH2,ALKBH2,NC_059173.1,-,17,
gene-ALKBH3,ALKBH3,NC_059172.1,-,16,
gene-ALKBH4,ALKBH4,NC_059180.1,-,24,
gene-ALKBH5,ALKBH5,NC_059159.1,+,3,
gene-ALKBH6,ALKBH6,NC_059174.1,-,18,
gene-ALKBH7,ALKBH7,NC_059165.1,+,9,
gene-ALKBH8,ALKBH8,NC_059172.1,+,16,
gene-ALLC,ALLC,NC_059159.1,-,3,
gene-ALMS1,ALMS1,NC_059168.1,-,12,
gene-ALOX12,ALOX12,NC_059159.1,-,3,
gene-ALOX12B,ALOX12B,NC_059159.1,+,3,
gene-ALOX15,ALOX15,NC_059159.1,-,3,
gene-ALOX15B,ALOX15B,NC_059159.1,-,3,
gene-ALOX5,ALOX5,NC_059160.1,-,4,
gene-ALOXE3,ALOXE3,NC_059159.1,+,3,
gene-ALPK1,ALPK1,NC_059163.1,-,7,
gene-ALPK2,ALPK2,NC_059178.1,+,22,
gene-ALPK3,ALPK3,NC_059176.1,-,20,
gene-ALPL,ALPL,NC_059158.1,-,2,
gene-ALS2,ALS2,NC_059158.1,-,2,
gene-ALS2CL,ALS2CL,NC_059177.1,+,21,
gene-ALX1,ALX1,NC_059160.1,-,4,
gene-ALX3,ALX3,NC_059162.1,+,6,
gene-ALX4,ALX4,NC_059172.1,+,16,
gene-ALYREF,ALYREF,NC_059159.1,-,3,
gene-AMACR,AMACR,NC_059175.1,+,19,
gene-AMBN,AMBN,NC_059163.1,-,7,
gene-AMBRA1,AMBRA1,NC_059172.1,+,16,
gene-AMD1,AMD1,NC_059166.1,+,10,
gene-AMDHD1,AMDHD1,NC_059160.1,-,4,
gene-AMDHD2,AMDHD2,NC_059180.1,-,24,
gene-AMELX,AMELX,NC_059181.1,-,X,
gene-AMER1,AMER1,NC_059181.1,-,X,
gene-AMER2,AMER2,NC_059169.1,-,13,
gene-AMER3,AMER3,NC_059158.1,+,2,
gene-AMFR,AMFR,NC_059174.1,+,18,
gene-AMH,AMH,NC_059165.1,-,9,
gene-AMHR2,AMHR2,NC_059160.1,+,4,
gene-AMIGO1,AMIGO1,NC_059162.1,+,6,
gene-AMIGO2,AMIGO2,NC_059160.1,-,4,
gene-AMIGO3,AMIGO3,NC_059177.1,+,21,
gene-AMMECR1,AMMECR1,NC_059181.1,+,X,
gene-AMMECR1L,AMMECR1L,NC_059158.1,+,2,
gene-AMN,AMN,NC_059176.1,-,20,
gene-AMN1,AMN1,NC_059160.1,-,4,
gene-AMOT,AMOT,NC_059181.1,+,X,
gene-AMOTL1,AMOTL1,NC_059172.1,+,16,
gene-AMOTL2,AMOTL2,NC_059157.1,+,1,
gene-AMPD1,AMPD1,NC_059162.1,+,6,
gene-AMPD2,AMPD2,NC_059162.1,-,6,
gene-AMPD3,AMPD3,NC_059172.1,+,16,
gene-AMPH,AMPH,NC_059164.1,+,8,
gene-AMT,AMT,NC_059177.1,+,21,
gene-AMTN,AMTN,NC_059163.1,-,7,
gene-AMZ1,AMZ1,NC_059180.1,+,24,
gene-AMZ2,AMZ2,NC_059159.1,+,3,
gene-ANAPC1,ANAPC1,NC_059168.1,+,12,
gene-ANAPC10,ANAPC10,NC_059173.1,-,17,
gene-ANAPC11,ANAPC11,NC_059159.1,+,3,
gene-ANAPC13,ANAPC13,NC_059157.1,+,1,
gene-ANAPC15,ANAPC15,NC_059172.1,+,16,
gene-ANAPC16,ANAPC16,NC_059160.1,+,4,
gene-ANAPC2,ANAPC2,NC_059168.1,-,12,
gene-ANAPC4,ANAPC4,NC_059163.1,-,7,
gene-ANAPC5,ANAPC5,NC_059173.1,-,17,
gene-ANAPC7,ANAPC7,NC_059173.1,+,17,
gene-ANG,ANG,NC_059167.1,+,11,
gene-ANGEL1,ANGEL1,NC_059167.1,+,11,
gene-ANGEL2,ANGEL2,NC_059161.1,-,5,
gene-ANGPT1,ANGPT1,NC_059171.1,-,15,
gene-ANGPT2,ANGPT2,NC_059157.1,+,1,
gene-ANGPT4,ANGPT4,NC_059170.1,-,14,
gene-ANGPTL1,ANGPTL1,NC_059161.1,+,5,
gene-ANGPTL2,ANGPTL2,NC_059168.1,-,12,
gene-ANGPTL3,ANGPTL3,NC_059162.1,-,6,
gene-ANGPTL4,ANGPTL4,NC_059165.1,-,9,
gene-ANGPTL5,ANGPTL5,NC_059172.1,-,16,
gene-ANGPTL6,ANGPTL6,NC_059165.1,+,9,
gene-ANGPTL7,ANGPTL7,NC_059161.1,+,5,
gene-ANGPTL8,ANGPTL8,NC_059165.1,-,9,
gene-ANHX,ANHX,NC_059173.1,+,17,
gene-ANK2,ANK2,NC_059163.1,-,7,
gene-ANK3,ANK3,NC_059160.1,-,4,
gene-ANKAR,ANKAR,NC_059158.1,-,2,
gene-ANKDD1A,ANKDD1A,NC_059167.1,-,11,
gene-ANKDD1B,ANKDD1B,NC_059167.1,-,11,
gene-ANKEF1,ANKEF1,NC_059170.1,-,14,
gene-ANKFN1,ANKFN1,NC_059159.1,-,3,
gene-ANKFY1,ANKFY1,NC_059159.1,+,3,
gene-ANKH,ANKH,NC_059175.1,+,19,
gene-ANKIB1,ANKIB1,NC_059164.1,+,8,
gene-ANKK1,ANKK1,NC_059172.1,-,16,
gene-ANKLE1,ANKLE1,NC_059165.1,+,9,
gene-ANKLE2,ANKLE2,NC_059173.1,-,17,
gene-ANKMY1,ANKMY1,NC_059162.1,-,6,
gene-ANKMY2,ANKMY2,NC_059164.1,-,8,
gene-ANKRA2,ANKRA2,NC_059175.1,+,19,
gene-ANKRD1,ANKRD1,NC_059179.1,-,23,
gene-ANKRD10,ANKRD10,NC_059169.1,+,13,
gene-ANKRD11,ANKRD11,NC_059174.1,-,18,
gene-ANKRD12,ANKRD12,NC_059178.1,-,22,
gene-ANKRD13A,ANKRD13A,NC_059173.1,+,17,
gene-ANKRD13B,ANKRD13B,NC_059159.1,-,3,
gene-ANKRD13C,ANKRD13C,NC_059162.1,+,6,
gene-ANKRD13D,ANKRD13D,NC_059161.1,+,5,
gene-ANKRD16,ANKRD16,NC_059170.1,-,14,
gene-ANKRD17,ANKRD17,NC_059163.1,+,7,
gene-ANKRD2,ANKRD2,NC_059179.1,+,23,
gene-ANKRD22,ANKRD22,NC_059179.1,-,23,
gene-ANKRD23,ANKRD23,NC_059168.1,-,12,
gene-ANKRD24,ANKRD24,NC_059165.1,+,9,
gene-ANKRD27,ANKRD27,NC_059174.1,-,18,
gene-ANKRD28,ANKRD28,NC_059157.1,-,1,
gene-ANKRD29,ANKRD29,NC_059178.1,-,22,
gene-ANKRD31,ANKRD31,NC_059167.1,+,11,
gene-ANKRD33,ANKRD33,NC_059160.1,+,4,
gene-ANKRD33B,ANKRD33B,NC_059175.1,-,19,
gene-ANKRD34A,ANKRD34A,NC_059162.1,+,6,
gene-ANKRD34B,ANKRD34B,NC_059165.1,+,9,
gene-ANKRD34C,ANKRD34C,NC_059176.1,-,20,
gene-ANKRD35,ANKRD35,NC_059162.1,+,6,
gene-ANKRD37,ANKRD37,NC_059157.1,-,1,
gene-ANKRD39,ANKRD39,NC_059168.1,-,12,
gene-ANKRD40,ANKRD40,NC_059159.1,-,3,
gene-ANKRD40CL,ANKRD40CL,NC_059159.1,-,3,
gene-ANKRD42,ANKRD42,NC_059161.1,-,5,
gene-ANKRD44,ANKRD44,NC_059158.1,-,2,
gene-ANKRD45,ANKRD45,NC_059161.1,+,5,
gene-ANKRD46,ANKRD46,NC_059171.1,-,15,
gene-ANKRD49,ANKRD49,NC_059172.1,-,16,
gene-ANKRD50,ANKRD50,NC_059173.1,-,17,
gene-ANKRD52,ANKRD52,NC_059160.1,-,4,
gene-ANKRD53,ANKRD53,NC_059168.1,-,12,
gene-ANKRD54,ANKRD54,NC_059160.1,+,4,
gene-ANKRD55,ANKRD55,NC_059175.1,+,19,
gene-ANKRD6,ANKRD6,NC_059166.1,+,10,
gene-ANKRD60,ANKRD60,NC_059170.1,-,14,
gene-ANKRD61,ANKRD61,NC_059180.1,-,24,
gene-ANKRD63,ANKRD63,NC_059167.1,+,11,
gene-ANKRD65,ANKRD65,NC_059161.1,-,5,
gene-ANKRD66,ANKRD66,NC_059158.1,-,2,
gene-ANKRD7,ANKRD7,NC_059164.1,+,8,
gene-ANKRD9,ANKRD9,NC_059176.1,+,20,
gene-ANKS1A,ANKS1A,NC_059158.1,-,2,
gene-ANKS1B,ANKS1B,NC_059160.1,+,4,
gene-ANKS3,ANKS3,NC_059180.1,+,24,
gene-ANKS4B,ANKS4B,NC_059180.1,-,24,
gene-ANKS6,ANKS6,NC_059159.1,-,3,
gene-ANKUB1,ANKUB1,NC_059157.1,+,1,
gene-ANKZF1,ANKZF1,NC_059158.1,+,2,
gene-ANLN,ANLN,NC_059164.1,-,8,
gene-ANO1,ANO1,NC_059161.1,+,5,
gene-ANO10,ANO10,NC_059177.1,-,21,
gene-ANO2,ANO2,NC_059160.1,-,4,
gene-ANO3,ANO3,NC_059172.1,-,16,
gene-ANO4,ANO4,NC_059160.1,-,4,
gene-ANO5,ANO5,NC_059161.1,-,5,
gene-ANO6,ANO6,NC_059160.1,+,4,
gene-ANO7,ANO7,NC_059162.1,+,6,
gene-ANO8,ANO8,NC_059165.1,-,9,
gene-ANO9,ANO9,NC_059161.1,+,5,
gene-ANOS1,ANOS1,NC_059181.1,-,X,
gene-ANP32A,ANP32A,NC_059167.1,+,11,
gene-ANP32B,ANP32B,NC_059159.1,+,3,
gene-ANP32E,ANP32E,NC_059162.1,+,6,
gene-ANTKMT,ANTKMT,NC_059180.1,-,24,
gene-ANTXR1,ANTXR1,NC_059168.1,+,12,
gene-ANTXR2,ANTXR2,NC_059163.1,+,7,
gene-ANXA1,ANXA1,NC_059159.1,+,3,
gene-ANXA10,ANXA10,NC_059159.1,+,3,
gene-ANXA11,ANXA11,NC_059160.1,+,4,
gene-ANXA13,ANXA13,NC_059171.1,-,15,
gene-ANXA2,ANXA2,NC_059167.1,-,11,
gene-ANXA3,ANXA3,NC_059163.1,-,7,
gene-ANXA4,ANXA4,NC_059168.1,+,12,
gene-ANXA5,ANXA5,NC_059163.1,+,7,
gene-ANXA6,ANXA6,NC_059165.1,+,9,
gene-ANXA7,ANXA7,NC_059160.1,-,4,
gene-ANXA9,ANXA9,NC_059162.1,-,6,
gene-AOAH,AOAH,NC_059164.1,+,8,
gene-AOC1,AOC1,NC_059164.1,+,8,
gene-AOC2,AOC2,NC_059159.1,-,3,
gene-AOPEP,AOPEP,NC_059159.1,+,3,
gene-AOX1,AOX1,NC_059158.1,+,2,
gene-AP1AR,AP1AR,NC_059163.1,-,7,
gene-AP1B1,AP1B1,NC_059173.1,+,17,
gene-AP1G1,AP1G1,NC_059174.1,+,18,
gene-AP1G2,AP1G2,NC_059167.1,-,11,
gene-AP1M1,AP1M1,NC_059165.1,+,9,
gene-AP1M2,AP1M2,NC_059165.1,+,9,
gene-AP1S1,AP1S1,NC_059180.1,+,24,
gene-AP1S2,AP1S2,NC_059181.1,-,X,
gene-AP1S3,AP1S3,NC_059158.1,-,2,
gene-AP2A1,AP2A1,NC_059174.1,+,18,
gene-AP2A2,AP2A2,NC_059161.1,-,5,
gene-AP2B1,AP2B1,NC_059159.1,+,3,
gene-AP2M1,AP2M1,NC_059157.1,-,1,
gene-AP2S1,AP2S1,NC_059174.1,-,18,
gene-AP3B1,AP3B1,NC_059167.1,+,11,
gene-AP3B2,AP3B2,NC_059176.1,+,20,
gene-AP3D1,AP3D1,NC_059165.1,-,9,
gene-AP3M1,AP3M1,NC_059160.1,-,4,
gene-AP3M2,AP3M2,NC_059157.1,-,1,
gene-AP3S1,AP3S1,NC_059167.1,-,11,
gene-AP4B1,AP4B1,NC_059162.1,+,6,
gene-AP4E1,AP4E1,NC_059167.1,+,11,
gene-AP4M1,AP4M1,NC_059180.1,+,24,
gene-AP4S1,AP4S1,NC_059176.1,-,20,
gene-AP5B1,AP5B1,NC_059161.1,-,5,
gene-AP5M1,AP5M1,NC_059167.1,-,11,
gene-AP5S1,AP5S1,NC_059170.1,+,14,
gene-AP5Z1,AP5Z1,NC_059180.1,+,24,
gene-APAF1,APAF1,NC_059160.1,-,4,
gene-APBA1,APBA1,NC_059159.1,-,3,
gene-APBA2,APBA2,NC_059176.1,-,20,
gene-APBA3,APBA3,NC_059165.1,-,9,
gene-APBB1,APBB1,NC_059172.1,-,16,
gene-APBB2,APBB2,NC_059163.1,+,7,
gene-APBB3,APBB3,NC_059165.1,+,9,
gene-APC,APC,NC_059167.1,+,11,
gene-APC2,APC2,NC_059165.1,-,9,
gene-APCDD1,APCDD1,NC_059178.1,-,22,
gene-APCDD1L,APCDD1L,NC_059170.1,-,14,
gene-APCS,APCS,NC_059162.1,-,6,
gene-APEH,APEH,NC_059177.1,-,21,
gene-APELA,APELA,NC_059163.1,-,7,
gene-APEX1,APEX1,NC_059167.1,+,11,
gene-APEX2,APEX2,NC_059181.1,-,X,
gene-APH1A,APH1A,NC_059162.1,+,6,
gene-APH1B,APH1B,NC_059167.1,+,11,
gene-API5,API5,NC_059172.1,-,16,
gene-APLF,APLF,NC_059168.1,+,12,
gene-APLN,APLN,NC_059181.1,-,X,
gene-APLNR,APLNR,NC_059172.1,+,16,
gene-APLP1,APLP1,NC_059174.1,+,18,
gene-APLP2,APLP2,NC_059161.1,+,5,
gene-APOA2,APOA2,NC_059162.1,+,6,
gene-APOA4,APOA4,NC_059172.1,+,16,
gene-APOA5,APOA5,NC_059172.1,+,16,
gene-APOB,APOB,NC_059168.1,+,12,
gene-APOBEC1,APOBEC1,NC_059160.1,+,4,
gene-APOBEC2,APOBEC2,NC_059158.1,-,2,
gene-APOBEC3A,APOBEC3A,NC_059160.1,-,4,
gene-APOBEC4,APOBEC4,NC_059161.1,+,5,
gene-APOBR,APOBR,NC_059180.1,-,24,
gene-APOC2,APOC2,NC_059174.1,+,18,
gene-APOC4,APOC4,NC_059174.1,+,18,
gene-APOD,APOD,NC_059157.1,+,1,
gene-APOE,APOE,NC_059174.1,+,18,
gene-APOF,APOF,NC_059160.1,-,4,
gene-APOH,APOH,NC_059159.1,+,3,
gene-APOLD1,APOLD1,NC_059160.1,+,4,
gene-APOM,APOM,NC_059158.1,+,2,
gene-APOO,APOO,NC_059181.1,-,X,
gene-APOOL,APOOL,NC_059181.1,+,X,
gene-APPBP2,APPBP2,NC_059159.1,-,3,
gene-APPL1,APPL1,NC_059177.1,-,21,
gene-APPL2,APPL2,NC_059160.1,+,4,
gene-APRT,APRT,NC_059174.1,-,18,
gene-APTX,APTX,NC_059159.1,-,3,
gene-AQP1,AQP1,NC_059164.1,-,8,
gene-AQP10,AQP10,NC_059162.1,-,6,
gene-AQP11,AQP11,NC_059161.1,-,5,
gene-AQP3,AQP3,NC_059159.1,-,3,
gene-AQP4,AQP4,NC_059178.1,-,22,
gene-AQP6,AQP6,NC_059160.1,+,4,
gene-AQP7,AQP7,NC_059159.1,-,3,
gene-AQP8,AQP8,NC_059180.1,-,24,
gene-AQP9,AQP9,NC_059167.1,+,11,
gene-AQR,AQR,NC_059167.1,+,11,
gene-AR,AR,NC_059181.1,+,X,
gene-ARAF,ARAF,NC_059181.1,-,X,
gene-ARAP1,ARAP1,NC_059172.1,+,16,
gene-ARAP2,ARAP2,NC_059163.1,+,7,
gene-ARAP3,ARAP3,NC_059165.1,+,9,
gene-ARC,ARC,NC_059171.1,-,15,
gene-ARCN1,ARCN1,NC_059172.1,-,16,
gene-AREG,AREG,NC_059163.1,-,7,
gene-AREL1,AREL1,NC_059167.1,+,11,
gene-ARF1,ARF1,NC_059165.1,+,9,
gene-ARF3,ARF3,NC_059160.1,-,4,
gene-ARF4,ARF4,NC_059177.1,+,21,
gene-ARF5,ARF5,NC_059164.1,+,8,
gene-ARF6,ARF6,NC_059167.1,-,11,
gene-ARFGAP1,ARFGAP1,NC_059170.1,+,14,
gene-ARFGAP2,ARFGAP2,NC_059172.1,+,16,
gene-ARFGAP3,ARFGAP3,NC_059160.1,+,4,
gene-ARFGEF1,ARFGEF1,NC_059171.1,+,15,
gene-ARFGEF2,ARFGEF2,NC_059170.1,-,14,
gene-ARFGEF3,ARFGEF3,NC_059166.1,-,10,
gene-ARFIP1,ARFIP1,NC_059173.1,+,17,
gene-ARFIP2,ARFIP2,NC_059172.1,-,16,
gene-ARFRP1,ARFRP1,NC_059170.1,-,14,
gene-ARG1,ARG1,NC_059166.1,-,10,
gene-ARG2,ARG2,NC_059167.1,-,11,
gene-ARGFX,ARGFX,NC_059157.1,+,1,
gene-ARGLU1,ARGLU1,NC_059169.1,+,13,
gene-ARHGAP1,ARHGAP1,NC_059172.1,+,16,
gene-ARHGAP10,ARHGAP10,NC_059173.1,+,17,
gene-ARHGAP12,ARHGAP12,NC_059170.1,-,14,
gene-ARHGAP15,ARHGAP15,NC_059158.1,-,2,
gene-ARHGAP17,ARHGAP17,NC_059180.1,+,24,
gene-ARHGAP18,ARHGAP18,NC_059166.1,+,10,
gene-ARHGAP19,ARHGAP19,NC_059179.1,-,23,
gene-ARHGAP20,ARHGAP20,NC_059172.1,+,16,
gene-ARHGAP21,ARHGAP21,NC_059170.1,+,14,
gene-ARHGAP22,ARHGAP22,NC_059160.1,-,4,
gene-ARHGAP23,ARHGAP23,NC_059159.1,-,3,
gene-ARHGAP24,ARHGAP24,NC_059163.1,-,7,
gene-ARHGAP25,ARHGAP25,NC_059168.1,+,12,
gene-ARHGAP26,ARHGAP26,NC_059165.1,-,9,
gene-ARHGAP27,ARHGAP27,NC_059159.1,+,3,
gene-ARHGAP28,ARHGAP28,NC_059178.1,-,22,
gene-ARHGAP29,ARHGAP29,NC_059162.1,+,6,
gene-ARHGAP30,ARHGAP30,NC_059162.1,+,6,
gene-ARHGAP31,ARHGAP31,NC_059157.1,+,1,
gene-ARHGAP32,ARHGAP32,NC_059161.1,-,5,
gene-ARHGAP33,ARHGAP33,NC_059174.1,+,18,
gene-ARHGAP35,ARHGAP35,NC_059174.1,+,18,
gene-ARHGAP36,ARHGAP36,NC_059181.1,+,X,
gene-ARHGAP39,ARHGAP39,NC_059171.1,-,15,
gene-ARHGAP4,ARHGAP4,NC_059181.1,+,X,
gene-ARHGAP42,ARHGAP42,NC_059172.1,+,16,
gene-ARHGAP44,ARHGAP44,NC_059159.1,-,3,
gene-ARHGAP45,ARHGAP45,NC_059165.1,-,9,
gene-ARHGAP5,ARHGAP5,NC_059176.1,-,20,
gene-ARHGAP6,ARHGAP6,NC_059181.1,+,X,
gene-ARHGAP8,ARHGAP8,NC_059160.1,-,4,
gene-ARHGAP9,ARHGAP9,NC_059160.1,-,4,
gene-ARHGDIA,ARHGDIA,NC_059159.1,-,3,
gene-ARHGDIB,ARHGDIB,NC_059160.1,-,4,
gene-ARHGDIG,ARHGDIG,NC_059180.1,-,24,
gene-ARHGEF1,ARHGEF1,NC_059174.1,-,18,
gene-ARHGEF10,ARHGEF10,NC_059157.1,-,1,
gene-ARHGEF10L,ARHGEF10L,NC_059158.1,-,2,
gene-ARHGEF11,ARHGEF11,NC_059162.1,+,6,
gene-ARHGEF12,ARHGEF12,NC_059172.1,-,16,
gene-ARHGEF15,ARHGEF15,NC_059159.1,-,3,
gene-ARHGEF16,ARHGEF16,NC_059161.1,+,5,
gene-ARHGEF17,ARHGEF17,NC_059172.1,-,16,
gene-ARHGEF18,ARHGEF18,NC_059165.1,-,9,
gene-ARHGEF19,ARHGEF19,NC_059158.1,+,2,
gene-ARHGEF2,ARHGEF2,NC_059162.1,+,6,
gene-ARHGEF25,ARHGEF25,NC_059160.1,+,4,
gene-ARHGEF26,ARHGEF26,NC_059157.1,-,1,
gene-ARHGEF28,ARHGEF28,NC_059175.1,-,19,
gene-ARHGEF3,ARHGEF3,NC_059177.1,+,21,
gene-ARHGEF33,ARHGEF33,NC_059168.1,+,12,
gene-ARHGEF37,ARHGEF37,NC_059165.1,-,9,
gene-ARHGEF38,ARHGEF38,NC_059163.1,-,7,
gene-ARHGEF39,ARHGEF39,NC_059159.1,-,3,
gene-ARHGEF4,ARHGEF4,NC_059158.1,+,2,
gene-ARHGEF40,ARHGEF40,NC_059167.1,+,11,
gene-ARHGEF5,ARHGEF5,NC_059164.1,+,8,
gene-ARHGEF6,ARHGEF6,NC_059181.1,+,X,
gene-ARHGEF7,ARHGEF7,NC_059169.1,-,13,
gene-ARHGEF9,ARHGEF9,NC_059181.1,-,X,
gene-ARID1A,ARID1A,NC_059158.1,-,2,
gene-ARID1B,ARID1B,NC_059166.1,-,10,
gene-ARID2,ARID2,NC_059160.1,+,4,
gene-ARID3A,ARID3A,NC_059165.1,-,9,
gene-ARID3B,ARID3B,NC_059176.1,+,20,
gene-ARID3C,ARID3C,NC_059159.1,-,3,
gene-ARID4A,ARID4A,NC_059167.1,-,11,
gene-ARID4B,ARID4B,NC_059160.1,-,4,
gene-ARID5A,ARID5A,NC_059168.1,+,12,
gene-ARID5B,ARID5B,NC_059160.1,+,4,
gene-ARIH1,ARIH1,NC_059167.1,-,11,
gene-ARIH2,ARIH2,NC_059177.1,-,21,
gene-ARL1,ARL1,NC_059160.1,+,4,
gene-ARL10,ARL10,NC_059165.1,-,9,
gene-ARL11,ARL11,NC_059169.1,-,13,
gene-ARL13A,ARL13A,NC_059181.1,+,X,
gene-ARL13B,ARL13B,NC_059157.1,+,1,
gene-ARL14,ARL14,NC_059157.1,-,1,
gene-ARL15,ARL15,NC_059175.1,+,19,
gene-ARL16,ARL16,NC_059159.1,-,3,
gene-ARL2,ARL2,NC_059161.1,+,5,
gene-ARL3,ARL3,NC_059179.1,-,23,
gene-ARL4A,ARL4A,NC_059164.1,+,8,
gene-ARL4C,ARL4C,NC_059162.1,-,6,
gene-ARL4D,ARL4D,NC_059159.1,-,3,
gene-ARL5A,ARL5A,NC_059158.1,+,2,
gene-ARL5B,ARL5B,NC_059170.1,-,14,
gene-ARL5C,ARL5C,NC_059159.1,+,3,
gene-ARL6,ARL6,NC_059157.1,+,1,
gene-ARL6IP1,ARL6IP1,NC_059180.1,+,24,
gene-ARL6IP4,ARL6IP4,NC_059173.1,+,17,
gene-ARL6IP5,ARL6IP5,NC_059177.1,-,21,
gene-ARL6IP6,ARL6IP6,NC_059158.1,-,2,
gene-ARL8A,ARL8A,NC_059161.1,-,5,
gene-ARL8B,ARL8B,NC_059177.1,-,21,
gene-ARL9,ARL9,NC_059163.1,-,7,
gene-ARMC1,ARMC1,NC_059171.1,+,15,
gene-ARMC10,ARMC10,NC_059164.1,+,8,
gene-ARMC12,ARMC12,NC_059158.1,-,2,
gene-ARMC2,ARMC2,NC_059166.1,+,10,
gene-ARMC3,ARMC3,NC_059170.1,-,14,
gene-ARMC5,ARMC5,NC_059180.1,-,24,
gene-ARMC6,ARMC6,NC_059165.1,+,9,
gene-ARMC7,ARMC7,NC_059159.1,+,3,
gene-ARMC8,ARMC8,NC_059157.1,-,1,
gene-ARMC9,ARMC9,NC_059158.1,+,2,
gene-ARMCX1,ARMCX1,NC_059181.1,+,X,
gene-ARMCX2,ARMCX2,NC_059181.1,-,X,
gene-ARMCX3,ARMCX3,NC_059181.1,+,X,
gene-ARMCX4,ARMCX4,NC_059181.1,+,X,
gene-ARMCX5,ARMCX5,NC_059181.1,+,X,
gene-ARMH1,ARMH1,NC_059162.1,-,6,
gene-ARMH2,ARMH2,NC_059158.1,-,2,
gene-ARMH3,ARMH3,NC_059179.1,-,23,
gene-ARMH4,ARMH4,NC_059167.1,+,11,
gene-ARMT1,ARMT1,NC_059166.1,-,10,
gene-ARNT,ARNT,NC_059162.1,+,6,
gene-ARNT2,ARNT2,NC_059176.1,-,20,
gene-ARNTL,ARNTL,NC_059172.1,+,16,
gene-ARNTL2,ARNTL2,NC_059160.1,+,4,
gene-ARPC1A,ARPC1A,NC_059180.1,+,24,
gene-ARPC1B,ARPC1B,NC_059180.1,+,24,
gene-ARPC2,ARPC2,NC_059158.1,+,2,
gene-ARPC3,ARPC3,NC_059173.1,+,17,
gene-ARPC4,ARPC4,NC_059177.1,-,21,
gene-ARPC5,ARPC5,NC_059161.1,+,5,
gene-ARPC5L,ARPC5L,NC_059168.1,+,12,
gene-ARPP19,ARPP19,NC_059167.1,-,11,
gene-ARPP21,ARPP21,NC_059177.1,+,21,
gene-ARR3,ARR3,NC_059181.1,+,X,
gene-ARRB1,ARRB1,NC_059172.1,+,16,
gene-ARRB2,ARRB2,NC_059159.1,+,3,
gene-ARRDC1,ARRDC1,NC_059168.1,+,12,
gene-ARRDC2,ARRDC2,NC_059165.1,+,9,
gene-ARRDC3,ARRDC3,NC_059165.1,+,9,
gene-ARRDC4,ARRDC4,NC_059176.1,+,20,
gene-ARRDC5,ARRDC5,NC_059165.1,-,9,
gene-ARSA,ARSA,NC_059160.1,+,4,
gene-ARSB,ARSB,NC_059167.1,+,11,
gene-ARSG,ARSG,NC_059159.1,+,3,
gene-ARSH,ARSH,NC_059181.1,+,X,
gene-ARSI,ARSI,NC_059165.1,+,9,
gene-ARSJ,ARSJ,NC_059163.1,+,7,
gene-ARSK,ARSK,NC_059165.1,-,9,
gene-ARSL,ARSL,NC_059181.1,-,X,
gene-ART1,ART1,NC_059172.1,+,16,
gene-ART3,ART3,NC_059163.1,-,7,
gene-ART4,ART4,NC_059160.1,-,4,
gene-ARTN,ARTN,NC_059162.1,-,6,
gene-ARV1,ARV1,NC_059160.1,+,4,
gene-ARX,ARX,NC_059181.1,-,X,
gene-AS3MT,AS3MT,NC_059179.1,+,23,
gene-ASAH1,ASAH1,NC_059157.1,-,1,
gene-ASAH2,ASAH2,NC_059179.1,-,23,
gene-ASAP1,ASAP1,NC_059171.1,-,15,
gene-ASAP2,ASAP2,NC_059168.1,-,12,
gene-ASAP3,ASAP3,NC_059158.1,+,2,
gene-ASB1,ASB1,NC_059162.1,+,6,
gene-ASB10,ASB10,NC_059164.1,-,8,
gene-ASB11,ASB11,NC_059181.1,-,X,
gene-ASB12,ASB12,NC_059181.1,-,X,
gene-ASB13,ASB13,NC_059170.1,-,14,
gene-ASB14,ASB14,NC_059177.1,+,21,
gene-ASB15,ASB15,NC_059164.1,+,8,
gene-ASB16,ASB16,NC_059159.1,-,3,
gene-ASB17,ASB17,NC_059162.1,+,6,
gene-ASB18,ASB18,NC_059162.1,-,6,
gene-ASB2,ASB2,NC_059176.1,+,20,
gene-ASB3,ASB3,NC_059168.1,-,12,
gene-ASB4,ASB4,NC_059164.1,+,8,
gene-ASB5,ASB5,NC_059157.1,+,1,
gene-ASB6,ASB6,NC_059168.1,-,12,
gene-ASB7,ASB7,NC_059176.1,+,20,
gene-ASB8,ASB8,NC_059160.1,-,4,
gene-ASB9,ASB9,NC_059181.1,-,X,
